NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_CELL_CYCLE	125	119		
KEGG_OOCYTE_MEIOSIS	113	92		
KEGG_P53_SIGNALING_PATHWAY	68	61		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	126		
KEGG_REGULATION_OF_AUTOPHAGY	35	19		
KEGG_ENDOCYTOSIS	181	154		
KEGG_PEROXISOME	78	65		
KEGG_MTOR_SIGNALING_PATHWAY	52	47		
KEGG_APOPTOSIS	87	76		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	68		
KEGG_WNT_SIGNALING_PATHWAY	151	116		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	19		
KEGG_NOTCH_SIGNALING_PATHWAY	47	39		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	34		
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	66		
KEGG_AXON_GUIDANCE	129	106		
KEGG_VEGF_SIGNALING_PATHWAY	76	56		
KEGG_FOCAL_ADHESION	199	157		
KEGG_ECM_RECEPTOR_INTERACTION	84	59		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	75		
KEGG_ADHERENS_JUNCTION	73	66		
KEGG_TIGHT_JUNCTION	132	91		
KEGG_GAP_JUNCTION	90	61		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	25		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	42		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	72		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	48		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	50		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	34		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	84		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	35		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	73		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	77		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	57		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	57		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	77		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	79		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	19		
KEGG_LONG_TERM_POTENTIATION	70	50		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	112		
KEGG_LONG_TERM_DEPRESSION	70	41		
KEGG_OLFACTORY_TRANSDUCTION	389	16		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	157		
KEGG_INSULIN_SIGNALING_PATHWAY	137	110		
KEGG_GNRH_SIGNALING_PATHWAY	101	72		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	72		
KEGG_MELANOGENESIS	101	66		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	53		
KEGG_TYPE_II_DIABETES_MELLITUS	47	28		
KEGG_TYPE_I_DIABETES_MELLITUS	43	19		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	26		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	38		
KEGG_ALZHEIMERS_DISEASE	166	140		
KEGG_PARKINSONS_DISEASE	130	113		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	39		
KEGG_HUNTINGTONS_DISEASE	182	161		
KEGG_PRION_DISEASES	35	22		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	44		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	58		
KEGG_LEISHMANIA_INFECTION	72	46		
KEGG_PATHWAYS_IN_CANCER	325		Rejected!	
KEGG_COLORECTAL_CANCER	62	58		
KEGG_RENAL_CELL_CARCINOMA	70	66		
KEGG_PANCREATIC_CANCER	70	66		
KEGG_ENDOMETRIAL_CANCER	52	46		
KEGG_GLIOMA	65	52		
KEGG_PROSTATE_CANCER	89	77		
KEGG_THYROID_CANCER	29	24		
KEGG_BASAL_CELL_CARCINOMA	55	38		
KEGG_MELANOMA	71	51		
KEGG_BLADDER_CANCER	42	38		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	67		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	50		
KEGG_SMALL_CELL_LUNG_CANCER	84	78		
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	48		
KEGG_ASTHMA	30		Rejected!	
KEGG_AUTOIMMUNE_THYROID_DISEASE	52		Rejected!	
KEGG_ALLOGRAFT_REJECTION	37		Rejected!	
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	15		
KEGG_VIRAL_MYOCARDITIS	70	39		
RESOLUTION OF D-LOOP STRUCTURES THROUGH HOLLIDAY JUNCTION INTERMEDIATES%REACTOME DATABASE ID RELEASE 79%5693568	32	31		
SUMOYLATION OF INTRACELLULAR RECEPTORS%REACTOME%R-HSA-4090294.3	24	21		
GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME%R-HSA-1483206.4	127	99		
RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE DURING HIV INFECTION%REACTOME%R-HSA-167160.2	27	27		
DEFECTIVE ALG8 CAUSES CDG-1H%REACTOME DATABASE ID RELEASE 79%4724325	1		Rejected!	
VPR-MEDIATED INDUCTION OF APOPTOSIS BY MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION%REACTOME%R-HSA-180897.2	4		Rejected!	
PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.3	20	20		
PROLONGED ERK ACTIVATION EVENTS%REACTOME DATABASE ID RELEASE 79%169893	14		Rejected!	
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	67	62		
SIGNALING BY NON-RECEPTOR TYROSINE KINASES%REACTOME DATABASE ID RELEASE 79%9006927	51	45		
NCAM1 INTERACTIONS%REACTOME DATABASE ID RELEASE 79%419037	37	21		
CYP2E1 REACTIONS%REACTOME DATABASE ID RELEASE 79%211999	11		Rejected!	
TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G1 CELL CYCLE ARREST%REACTOME DATABASE ID RELEASE 79%6804116	14		Rejected!	
CHOLINE CATABOLISM%REACTOME DATABASE ID RELEASE 79%6798163	6		Rejected!	
GLYCOGEN BREAKDOWN (GLYCOGENOLYSIS)%REACTOME DATABASE ID RELEASE 79%70221	15		Rejected!	
ANTIMICROBIAL PEPTIDES%REACTOME%R-HSA-6803157.2	95		Rejected!	
TRANSCRIPTION OF SARS-COV-1 SGRNAS%REACTOME%R-HSA-9682708.2	3		Rejected!	
MPS IIIB - SANFILIPPO SYNDROME B%REACTOME DATABASE ID RELEASE 79%2206282	1		Rejected!	
CERITINIB-RESISTANT ALK MUTANTS%REACTOME DATABASE ID RELEASE 79%9717323	1		Rejected!	
HHAT G278V DOESN'T PALMITOYLATE HH-NP%REACTOME DATABASE ID RELEASE 79%5658034	4		Rejected!	
EPIGENETIC REGULATION OF GENE EXPRESSION%REACTOME%R-HSA-212165.2	116	94		
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	120	114		
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME%R-HSA-450531.4	86	82		
DEFECTIVE ABCA12 CAUSES ARCI4B%REACTOME DATABASE ID RELEASE 79%5682294	1		Rejected!	
HEDGEHOG 'OFF' STATE%REACTOME%R-HSA-5610787.1	100	92		
METABOLISM OF FAT-SOLUBLE VITAMINS%REACTOME DATABASE ID RELEASE 79%6806667	48	26		
DEFECTIVE GALT CAN CAUSE GALCT%REACTOME DATABASE ID RELEASE 79%5609978	1		Rejected!	
EXPRESSION AND PROCESSING OF NEUROTROPHINS%REACTOME%R-HSA-9036866.2	4		Rejected!	
ALTERNATIVE COMPLEMENT ACTIVATION%REACTOME%R-HSA-173736.2	4		Rejected!	
DEFECTIVE SLC16A1 CAUSES SYMPTOMATIC DEFICIENCY IN LACTATE TRANSPORT (SDLT)%REACTOME DATABASE ID RELEASE 79%5619070	2		Rejected!	
NEGATIVE REGULATION OF ACTIVITY OF TFAP2 (AP-2) FAMILY TRANSCRIPTION FACTORS%REACTOME%R-HSA-8866904.2	10		Rejected!	
PROPIONYL-COA CATABOLISM%REACTOME DATABASE ID RELEASE 79%71032	5		Rejected!	
SIGNALING BY LIGAND-RESPONSIVE EGFR VARIANTS IN CANCER%REACTOME%R-HSA-5637815.1	17	16		
BLOCKAGE OF PHAGOSOME ACIDIFICATION%REACTOME DATABASE ID RELEASE 79%9636467	2		Rejected!	
RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 79%1368082	18	18		
DISEASES OF MITOTIC CELL CYCLE%REACTOME%R-HSA-9675126.2	38	38		
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME DATABASE ID RELEASE 79%75815	52	49		
DEFECTIVE MISMATCH REPAIR ASSOCIATED WITH MSH6%REACTOME DATABASE ID RELEASE 79%5632968	2		Rejected!	
VITAMINS%REACTOME%R-HSA-211916.1	6		Rejected!	
MATURATION OF PROTEIN E%REACTOME DATABASE ID RELEASE 79%9683683	5		Rejected!	
SPRY REGULATION OF FGF SIGNALING%REACTOME%R-HSA-1295596.1	14		Rejected!	
RNA POLYMERASE III TRANSCRIPTION%REACTOME DATABASE ID RELEASE 79%74158	41	41		
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME DATABASE ID RELEASE 79%174184	73	70		
IMATINIB-RESISTANT PDGFR MUTANTS%REACTOME DATABASE ID RELEASE 79%9674396	1		Rejected!	
TRANSCRIPTION OF THE HIV GENOME%REACTOME%R-HSA-167172.2	71	66		
INTERACTIONS OF VPR WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-176033.2	40	33		
VEGF BINDS TO VEGFR LEADING TO RECEPTOR DIMERIZATION%REACTOME%R-HSA-195399.1	8		Rejected!	
ROS SENSING BY NFE2L2%REACTOME%R-HSA-8932339.1	57	54		
ALTERNATIVE LENGTHENING OF TELOMERES (ALT)%REACTOME%R-HSA-9006821.2	2		Rejected!	
CTNNB1 S37 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 79%5358749	15	15		
SUMO IS CONJUGATED TO E1 (UBA2:SAE1)%REACTOME%R-HSA-3065676.2	5		Rejected!	
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRON-CONTAINING TRANSCRIPT%REACTOME%R-HSA-159236.3	71	67		
IRF3 MEDIATED ACTIVATION OF TYPE 1 IFN%REACTOME DATABASE ID RELEASE 79%1606341	5		Rejected!	
MYD88-INDEPENDENT TLR4 CASCADE%REACTOME DATABASE ID RELEASE 79%166166	96	90		
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.4	92	89		
NTF3 ACTIVATES NTRK3 SIGNALING%REACTOME%R-HSA-9034013.1	2		Rejected!	
DEFECTIVE HLCS CAUSES MULTIPLE CARBOXYLASE DEFICIENCY%REACTOME DATABASE ID RELEASE 79%3371599	7		Rejected!	
TRP CHANNELS%REACTOME%R-HSA-3295583.2	25		Rejected!	
RESISTANCE OF ERBB2 KD MUTANTS TO TRASTUZUMAB%REACTOME DATABASE ID RELEASE 79%9665233	4		Rejected!	
TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME DATABASE ID RELEASE 79%159234	40	39		
PTK6 PROMOTES HIF1A STABILIZATION%REACTOME%R-HSA-8857538.2	6		Rejected!	
LINOLEIC ACID (LA) METABOLISM%REACTOME DATABASE ID RELEASE 79%2046105	8		Rejected!	
NEF MEDIATED DOWNREGULATION OF MHC CLASS I COMPLEX CELL SURFACE EXPRESSION%REACTOME%R-HSA-164940.1	11		Rejected!	
TANDEM OF PORE DOMAIN IN A WEAK INWARDLY RECTIFYING K+ CHANNELS (TWIK)%REACTOME%R-HSA-1299308.1	3		Rejected!	
CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 79%1500931	119	88		
RHOBTB GTPASE CYCLE%REACTOME%R-HSA-9706574.2	35	35		
DEFECTIVE SLC35C1 CAUSES CONGENITAL DISORDER OF GLYCOSYLATION 2C (CDG2C)%REACTOME DATABASE ID RELEASE 79%5619078	1		Rejected!	
DEFECTIVE TPR MAY CONFER SUSCEPTIBILITY TOWARDS THYROID PAPILLARY CARCINOMA (TPC)%REACTOME%R-HSA-5619107.2	29	26		
DEFECTIVE F9 VARIANT DOES NOT ACTIVATE FX%REACTOME DATABASE ID RELEASE 79%9673202	3		Rejected!	
RAC3 GTPASE CYCLE%REACTOME%R-HSA-9013423.1	94	82		
LOSS OF FUNCTION OF TGFBR2 IN CANCER%REACTOME%R-HSA-3642278.1	3		Rejected!	
DEFECTIVE BINDING OF RB1 MUTANTS TO E2F1,(E2F2, E2F3)%REACTOME%R-HSA-9661069.1	17	17		
DNA REPLICATION INITIATION%REACTOME DATABASE ID RELEASE 79%68952	8		Rejected!	
NRCAM INTERACTIONS%REACTOME DATABASE ID RELEASE 79%447038	7		Rejected!	
TYPE II NA+ PI COTRANSPORTERS%REACTOME%R-HSA-427589.1	3		Rejected!	
DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 79%3560782	41	31		
ERKS ARE INACTIVATED%REACTOME%R-HSA-202670.2	13		Rejected!	
FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME%R-HSA-140877.2	39		Rejected!	
DEFECTIVE FACTOR VIII CAUSES HEMOPHILIA A%REACTOME DATABASE ID RELEASE 79%9662001	7		Rejected!	
AFLATOXIN ACTIVATION AND DETOXIFICATION%REACTOME DATABASE ID RELEASE 79%5423646	20		Rejected!	
MRNA DECAY BY 3' TO 5' EXORIBONUCLEASE%REACTOME DATABASE ID RELEASE 79%429958	16	16		
ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.1	20	20		
RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME%R-HSA-110314.2	30	30		
SERINE BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 79%977347	9		Rejected!	
SYNTHESIS AND PROCESSING OF GAG, GAGPOL POLYPROTEINS%REACTOME DATABASE ID RELEASE 79%174495	15		Rejected!	
TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 79%9694635	54	47		
RELEASE OF APOPTOTIC FACTORS FROM THE MITOCHONDRIA%REACTOME%R-HSA-111457.3	6		Rejected!	
PROCESSING OF DNA DOUBLE-STRAND BREAK ENDS%REACTOME DATABASE ID RELEASE 79%5693607	80	67		
SIGNALING BY NOTCH1 HD DOMAIN MUTANTS IN CANCER%REACTOME%R-HSA-2691230.1	15		Rejected!	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 79%2022090	56	41		
SODIUM CALCIUM EXCHANGERS%REACTOME DATABASE ID RELEASE 79%425561	11		Rejected!	
DEFECTIVE SLC34A1 CAUSES HYPOPHOSPHATEMIC NEPHROLITHIASIS OSTEOPOROSIS 1 (NPHLOP1)%REACTOME DATABASE ID RELEASE 79%5619040	1		Rejected!	
SYNTHESIS OF WYBUTOSINE AT G37 OF TRNA(PHE)%REACTOME%R-HSA-6782861.2	6		Rejected!	
PACKAGING OF EIGHT RNA SEGMENTS%REACTOME%R-HSA-168303.3	8		Rejected!	
VARIANT SLC6A20 CONTRIBUTES TOWARDS HYPERGLYCINURIA (HG) AND IMINOGLYCINURIA (IG)%REACTOME%R-HSA-5619101.1	1		Rejected!	
DISORDERS OF TRANSMEMBRANE TRANSPORTERS%REACTOME DATABASE ID RELEASE 79%5619115	173	124		
LIPOPROTEIN METABOLISM%REACTOME%R-HSA-174824.4	67	41		
RECYCLING OF EIF2:GDP%REACTOME%R-HSA-72731.2	8		Rejected!	
DEFECTIVE MMAB CAUSES MMA, CBLB TYPE%REACTOME DATABASE ID RELEASE 79%3359471	1		Rejected!	
CD163 MEDIATING AN ANTI-INFLAMMATORY RESPONSE%REACTOME%R-HSA-9662834.1	9		Rejected!	
POSITIVE EPIGENETIC REGULATION OF RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 79%5250913	74	54		
PTK6 REGULATES RTKS AND THEIR EFFECTORS AKT1 AND DOK1%REACTOME DATABASE ID RELEASE 79%8849469	9		Rejected!	
PI3K CASCADE%REACTOME DATABASE ID RELEASE 79%109704	36	21		
SUMO IS TRANSFERRED FROM E1 TO E2 (UBE2I, UBC9)%REACTOME DATABASE ID RELEASE 79%3065678	7		Rejected!	
RND3 GTPASE CYCLE%REACTOME%R-HSA-9696264.1	42	39		
SUNITINIB-RESISTANT KIT MUTANTS%REACTOME%R-HSA-9669934.1	1		Rejected!	
MULTIFUNCTIONAL ANION EXCHANGERS%REACTOME DATABASE ID RELEASE 79%427601	9		Rejected!	
PARADOXICAL ACTIVATION OF RAF SIGNALING BY KINASE INACTIVE BRAF%REACTOME%R-HSA-6802955.2	43	35		
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 79%110329	41	22		
NA+ CL- DEPENDENT NEUROTRANSMITTER TRANSPORTERS%REACTOME%R-HSA-442660.1	19		Rejected!	
DEFECTIVE FMO3 CAUSES TMAU%REACTOME DATABASE ID RELEASE 79%5579019	1		Rejected!	
NADPH REGENERATION%REACTOME%R-HSA-389542.2	1		Rejected!	
DNA DAMAGE REVERSAL%REACTOME DATABASE ID RELEASE 79%73942	8		Rejected!	
PLASMA LIPOPROTEIN ASSEMBLY%REACTOME DATABASE ID RELEASE 79%8963898	18		Rejected!	
MET ACTIVATES RAS SIGNALING%REACTOME DATABASE ID RELEASE 79%8851805	8		Rejected!	
EPHB-MEDIATED FORWARD SIGNALING%REACTOME DATABASE ID RELEASE 79%3928662	32	31		
SIGNALING BY RHO GTPASES, MIRO GTPASES AND RHOBTB3%REACTOME%R-HSA-9716542.2	664		Rejected!	
COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.3	44	26		
HS-GAG BIOSYNTHESIS%REACTOME%R-HSA-2022928.1	31	21		
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 79%8878159	95	91		
NTF3 ACTIVATES NTRK2 (TRKB) SIGNALING%REACTOME%R-HSA-9025046.1	2		Rejected!	
NEF AND SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 79%164944	8		Rejected!	
BIOSYNTHESIS OF DPAN-6 SPMS%REACTOME DATABASE ID RELEASE 79%9025106	2		Rejected!	
AMINE LIGAND-BINDING RECEPTORS%REACTOME%R-HSA-375280.2	43		Rejected!	
RHOT1 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013425	5		Rejected!	
ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 79%450302	19	17		
SUMOYLATION OF IMMUNE RESPONSE PROTEINS%REACTOME%R-HSA-4755510.3	11		Rejected!	
SODIUM PROTON EXCHANGERS%REACTOME DATABASE ID RELEASE 79%425986	9		Rejected!	
MPS IV - MORQUIO SYNDROME B%REACTOME DATABASE ID RELEASE 79%2206308	1		Rejected!	
DEFECTIVE CYP26B1 CAUSES RHFCA%REACTOME DATABASE ID RELEASE 79%5579015	1		Rejected!	
RAS ACTIVATION UPON CA2+ INFLUX THROUGH NMDA RECEPTOR%REACTOME DATABASE ID RELEASE 79%442982	19		Rejected!	
DEGRADATION OF GLI2 BY THE PROTEASOME%REACTOME%R-HSA-5610783.1	60	56		
TRNA PROCESSING IN THE MITOCHONDRION%REACTOME%R-HSA-6785470.4	5		Rejected!	
VLDL ASSEMBLY%REACTOME%R-HSA-8866423.4	5		Rejected!	
SARS-COV-1 GENOME REPLICATION AND TRANSCRIPTION%REACTOME DATABASE ID RELEASE 79%9679514	7		Rejected!	
PHENYLKETONURIA%REACTOME%R-HSA-2160456.2	1		Rejected!	
CREB1 PHOSPHORYLATION THROUGH THE ACTIVATION OF ADENYLATE CYCLASE%REACTOME%R-HSA-442720.4	12		Rejected!	
ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME DATABASE ID RELEASE 79%9609736	25	15		
NEUREXINS AND NEUROLIGINS%REACTOME DATABASE ID RELEASE 79%6794361	57	35		
RESOLUTION OF D-LOOP STRUCTURES THROUGH SYNTHESIS-DEPENDENT STRAND ANNEALING (SDSA)%REACTOME DATABASE ID RELEASE 79%5693554	26	26		
PHOSPHOLIPID METABOLISM%REACTOME DATABASE ID RELEASE 79%1483257	210	172		
SIGNALING BY NODAL%REACTOME DATABASE ID RELEASE 79%1181150	23		Rejected!	
MATURATION OF NUCLEOPROTEIN%REACTOME DATABASE ID RELEASE 79%9683610	12		Rejected!	
DEFECTIVE CYP26C1 CAUSES FFDD4%REACTOME%R-HSA-5579004.2	1		Rejected!	
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 79%6790901	60	59		
ACTIVATED NTRK3 SIGNALS THROUGH RAS%REACTOME%R-HSA-9034864.1	5		Rejected!	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3	142	127		
ACTIVATION OF GABAB RECEPTORS%REACTOME DATABASE ID RELEASE 79%991365	43	27		
DISEASES ASSOCIATED WITH N-GLYCOSYLATION OF PROTEINS%REACTOME DATABASE ID RELEASE 79%3781860	20	20		
INHIBITION OF TSC COMPLEX FORMATION BY PKB%REACTOME%R-HSA-165181.2	3		Rejected!	
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER%REACTOME DATABASE ID RELEASE 79%76066	27	27		
NF-KB IS ACTIVATED AND SIGNALS SURVIVAL%REACTOME%R-HSA-209560.1	13		Rejected!	
G-PROTEIN BETA:GAMMA SIGNALLING%REACTOME%R-HSA-397795.3	32	22		
ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME DATABASE ID RELEASE 79%442755	71	54		
RHO GTPASES ACTIVATE IQGAPS%REACTOME%R-HSA-5626467.1	11		Rejected!	
ACTIVATION OF THE TFAP2 (AP-2) FAMILY OF TRANSCRIPTION FACTORS%REACTOME%R-HSA-8866907.2	12		Rejected!	
ATTACHMENT AND ENTRY%REACTOME%R-HSA-9694614.2	11		Rejected!	
TRIGLYCERIDE METABOLISM%REACTOME%R-HSA-8979227.1	38	21		
SENSORY PERCEPTION OF SALTY TASTE%REACTOME%R-HSA-9730628.1	6		Rejected!	
SMAD2 3 PHOSPHORYLATION MOTIF MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 79%3304356	5		Rejected!	
SIGNALING BY INSULIN RECEPTOR%REACTOME DATABASE ID RELEASE 79%74752	69	49		
PURINE SALVAGE%REACTOME%R-HSA-74217.5	13		Rejected!	
SYNTHESIS OF 12-EICOSATETRAENOIC ACID DERIVATIVES%REACTOME DATABASE ID RELEASE 79%2142712	7		Rejected!	
PROLACTIN RECEPTOR SIGNALING%REACTOME%R-HSA-1170546.1	13		Rejected!	
DEFECTIVE CYP17A1 CAUSES AH5%REACTOME DATABASE ID RELEASE 79%5579028	1		Rejected!	
HEPARAN SULFATE HEPARIN (HS-GAG) METABOLISM%REACTOME%R-HSA-1638091.1	54	39		
RESPONSE OF MTB TO PHAGOCYTOSIS%REACTOME DATABASE ID RELEASE 79%9637690	39	21		
TIE2 SIGNALING%REACTOME%R-HSA-210993.1	16		Rejected!	
NEGATIVE REGULATION OF FGFR4 SIGNALING%REACTOME%R-HSA-5654733.1	27	19		
INTERLEUKIN-12 SIGNALING%REACTOME%R-HSA-9020591.1	46	36		
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR3%REACTOME DATABASE ID RELEASE 79%5654227	9		Rejected!	
TWIK-RELATED ALKALINE PH ACTIVATED K+ CHANNEL (TALK)%REACTOME DATABASE ID RELEASE 79%1299361	2		Rejected!	
ADRENALINE SIGNALLING THROUGH ALPHA-2 ADRENERGIC RECEPTOR%REACTOME%R-HSA-392023.2	3		Rejected!	
DAG AND IP3 SIGNALING%REACTOME%R-HSA-1489509.2	41	35		
SYNTHESIS OF SUBSTRATES IN N-GLYCAN BIOSYTHESIS%REACTOME DATABASE ID RELEASE 79%446219	63	52		
TRANSCRIPTIONAL REGULATION OF GRANULOPOIESIS%REACTOME%R-HSA-9616222.2	58	30		
LGI-ADAM INTERACTIONS%REACTOME%R-HSA-5682910.2	14		Rejected!	
DEFECTIVE CYP11B1 CAUSES AH4%REACTOME%R-HSA-5579017.2	1		Rejected!	
DEFECTIVE CHST6 CAUSES MCDC1%REACTOME%R-HSA-3656225.1	8		Rejected!	
MATURATION OF REPLICASE PROTEINS%REACTOME DATABASE ID RELEASE 79%9684325	2		Rejected!	
APOPTOTIC FACTOR-MEDIATED RESPONSE%REACTOME%R-HSA-111471.4	19	19		
FLT3 SIGNALING THROUGH SRC FAMILY KINASES%REACTOME DATABASE ID RELEASE 79%9706374	6		Rejected!	
GLYCOLYSIS%REACTOME DATABASE ID RELEASE 79%70171	67	57		
SIGNALING BY ALK IN CANCER%REACTOME DATABASE ID RELEASE 79%9700206	53	50		
DEFECTIVE ABCB6 CAUSES MCOPCB7%REACTOME DATABASE ID RELEASE 79%5683371	1		Rejected!	
REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-8934593.1	17	17		
ADAPTIVE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 79%1280218	831		Rejected!	
ENERGY DEPENDENT REGULATION OF MTOR BY LKB1-AMPK%REACTOME DATABASE ID RELEASE 79%380972	29	28		
DEFECTIVE GSS CAUSES GSS DEFICIENCY%REACTOME%R-HSA-5579006.2	1		Rejected!	
RRNA PROCESSING IN THE MITOCHONDRION%REACTOME DATABASE ID RELEASE 79%8868766	10		Rejected!	
CIRCADIAN CLOCK%REACTOME%R-HSA-400253.3	67	64		
ASSOCIATION OF TRIC CCT WITH TARGET PROTEINS DURING BIOSYNTHESIS%REACTOME%R-HSA-390471.1	38	36		
BIOTIN TRANSPORT AND METABOLISM%REACTOME%R-HSA-196780.1	11		Rejected!	
SIGNALING BY TCF7L2 MUTANTS%REACTOME%R-HSA-5339700.3	3		Rejected!	
CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION%REACTOME DATABASE ID RELEASE 79%983169	380		Rejected!	
PLCG1 EVENTS IN ERBB2 SIGNALING%REACTOME%R-HSA-1251932.3	4		Rejected!	
INTESTINAL ABSORPTION%REACTOME%R-HSA-8963676.2	4		Rejected!	
PROCESSING OF SMDT1%REACTOME%R-HSA-8949664.1	16	15		
BRIGATINIB-RESISTANT ALK MUTANTS%REACTOME DATABASE ID RELEASE 79%9717319	1		Rejected!	
ESTROGEN BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 79%193144	6		Rejected!	
REGULATION OF TP53 ACTIVITY%REACTOME%R-HSA-5633007.3	159	151		
FORMATION OF RNA POL II ELONGATION COMPLEX%REACTOME DATABASE ID RELEASE 79%112382	58	57		
ACTIVATION OF TRKA RECEPTORS%REACTOME%R-HSA-187015.2	6		Rejected!	
DISEASES OF PROGRAMMED CELL DEATH%REACTOME%R-HSA-9645723.6	71	49		
